Datum,Name Haltestelle,Kundengewichtete Ankunftspünktlichkeit,Kundengewichtete Ankunftspünktlichkeit Fernverkehr,Kundengewichtete Ankunftspünktlichkeit Regionalverkehr,Kundengewichtete Anschlüsse,key
2019-03-27,Aarau,92.4972447221,90.7697101666,96.1688726347,95.8411980345,2019-03-27 00:00:00-AA
2019-03-26,Aarau,93.2567782862,92.0290899719,95.8687887573,98.6335395348,2019-03-26 00:00:00-AA
2019-03-25,Aarau,97.6270190501,96.8804458175,99.2182848488,99.0592803954,2019-03-25 00:00:00-AA
2019-03-24,Aarau,97.1806756536,96.3628751217,99.7367932175,100,2019-03-24 00:00:00-AA
2019-03-23,Aarau,97.4530821473,97.6119339432,96.9625613702,99.4795706811,2019-03-23 00:00:00-AA
2019-03-22,Aarau,95.6796733331,94.2565476206,98.7379157146,98.1728927759,2019-03-22 00:00:00-AA
2019-03-21,Aarau,97.2005628116,96.2842726735,99.1480066045,99.2427231614,2019-03-21 00:00:00-AA
2019-03-20,Aarau,94.3177448206,92.3219686513,98.4954336389,97.3935719469,2019-03-20 00:00:00-AA
2019-03-19,Aarau,97.0414956481,96.7402304494,97.6811108604,100,2019-03-19 00:00:00-AA
2019-03-18,Aarau,92.4493622486,90.7557989475,96.0673577557,97.151844788,2019-03-18 00:00:00-AA
2019-03-17,Aarau,90.0063296871,88.4406528615,94.8799308417,99.6963336274,2019-03-17 00:00:00-AA
2019-03-16,Aarau,91.7950743045,90.194691336,96.771625501,99.8686774363,2019-03-16 00:00:00-AA
2019-03-15,Aarau,79.3732128752,78.9424959149,80.3249232737,96.4155871668,2019-03-15 00:00:00-AA
2019-03-14,Aarau,78.9489988312,76.8004859068,83.4933186708,90.2290604341,2019-03-14 00:00:00-AA
2019-03-13,Aarau,84.1264960771,81.7206126949,89.15839538,94.8144602431,2019-03-13 00:00:00-AA
2019-03-12,Aarau,94.1504832203,93.1608347184,96.2538397362,99.5065093108,2019-03-12 00:00:00-AA
2019-03-11,Aarau,86.5423931395,85.2626801867,89.2431969861,96.4596398861,2019-03-11 00:00:00-AA
2019-03-10,Aarau,91.2852235104,89.8020521523,96.0200100135,97.1439900714,2019-03-10 00:00:00-AA
2019-03-09,Aarau,96.4115114371,95.578789794,99.0055883609,98.3780752909,2019-03-09 00:00:00-AA
2019-03-08,Aarau,89.8453571905,86.1175627216,97.8720828565,97.3947831448,2019-03-08 00:00:00-AA
2019-03-07,Aarau,95.8311324927,95.6863499767,96.144568583,96.6989308246,2019-03-07 00:00:00-AA
2019-03-06,Aarau,86.7441769734,84.7842385736,91.1314387853,99.24953592,2019-03-06 00:00:00-AA
2019-03-05,Aarau,90.8615030731,88.2736938168,96.4257664865,98.1816718792,2019-03-05 00:00:00-AA
2019-03-04,Aarau,88.3276384329,87.1519943873,90.855488248,95.5952506159,2019-03-04 00:00:00-AA
2019-03-03,Aarau,95.1634413381,94.5753851713,97.1111958962,99.5920173447,2019-03-03 00:00:00-AA
2019-03-02,Aarau,99.3462721738,99.1345274785,100,100,2019-03-02 00:00:00-AA
2019-03-01,Aarau,87.9855294627,84.1838179691,96.0641796289,98.0909525702,2019-03-01 00:00:00-AA
2019-02-28,Aarau,89.5390513162,87.0890992605,94.5987826704,97.2007230465,2019-02-28 00:00:00-AA
2019-02-27,Aarau,92.901417063,92.4433443746,93.8749851248,94.2499067323,2019-02-27 00:00:00-AA
2019-02-26,Aarau,93.102970268,92.1659037225,95.094571347,93.4567194481,2019-02-26 00:00:00-AA
2019-02-25,Aarau,94.3042642673,93.3265485369,96.3822593817,98.8030717933,2019-02-25 00:00:00-AA
2019-02-24,Aarau,94.4744314791,93.7481047986,96.7245195842,99.9771899409,2019-02-24 00:00:00-AA
2019-02-23,Aarau,96.6890409961,95.6242870752,100,98.7433579147,2019-02-23 00:00:00-AA
2019-02-22,Aarau,89.1723760822,85.7844241278,96.3322220019,95.958249292,2019-02-22 00:00:00-AA
2019-02-21,Aarau,95.1170715566,94.4186254873,96.5718519169,98.5994587193,2019-02-21 00:00:00-AA
2019-02-20,Aarau,89.0498676268,87.2480966996,92.8684653212,94.3221651154,2019-02-20 00:00:00-AA
2019-02-19,Aarau,97.019164671,97.1337355705,96.7790501399,98.2121681058,2019-02-19 00:00:00-AA
2019-02-18,Aarau,96.7247834802,95.1837641152,100,99.5033019445,2019-02-18 00:00:00-AA
2019-02-17,Aarau,97.2347301126,96.9361692271,98.0768682056,98.0396501201,2019-02-17 00:00:00-AA
2019-02-16,Aarau,96.8118612864,96.2096974986,98.5240623372,99.7920064458,2019-02-16 00:00:00-AA
2019-02-15,Aarau,95.929647618,95.0364334073,97.8277309269,99.5298578151,2019-02-15 00:00:00-AA
2019-02-14,Aarau,92.7084263768,92.1941406337,93.823409424,96.7347188688,2019-02-14 00:00:00-AA
2019-02-13,Aarau,96.5753718631,96.0429113659,97.6960701955,99.6171821591,2019-02-13 00:00:00-AA
2019-02-12,Aarau,94.8680187797,92.9747137593,98.8919681344,98.2735209844,2019-02-12 00:00:00-AA
2019-02-11,Aarau,88.7995146734,86.7920510118,93.0660919121,96.2475819766,2019-02-11 00:00:00-AA
2019-02-10,Aarau,91.3115489919,90.5785268721,93.5932826107,97.911765211,2019-02-10 00:00:00-AA
2019-02-09,Aarau,98.7086445275,98.5873949794,99.0845933395,99.8338095112,2019-02-09 00:00:00-AA
2019-02-08,Aarau,94.1087392125,92.7284164588,97.0848237243,98.3875325732,2019-02-08 00:00:00-AA
2019-02-07,Aarau,92.6355093675,91.4409453299,95.1870018887,98.7542644102,2019-02-07 00:00:00-AA
2019-02-06,Aarau,96.2885050922,94.5422127505,100,98.584904467,2019-02-06 00:00:00-AA
2019-02-05,Aarau,92.1137811658,91.4225653388,93.5828616631,97.153406861,2019-02-05 00:00:00-AA
2019-02-04,Aarau,90.812653503,88.7272779339,95.2448213713,98.5122669682,2019-02-04 00:00:00-AA
2019-02-03,Aarau,96.6254009548,96.1735867277,98.0317974108,98.7108868817,2019-02-03 00:00:00-AA
2019-02-02,Aarau,96.7719223866,95.7385750469,100,97.9842673012,2019-02-02 00:00:00-AA
2019-02-01,Aarau,84.4404748206,79.5361679344,94.654735095,90.948970743,2019-02-01 00:00:00-AA
2019-01-31,Aarau,90.3749145846,87.5006716346,96.4837073781,95.5824128435,2019-01-31 00:00:00-AA
2019-01-30,Aarau,93.3655352016,90.5147317194,99.3116944042,97.3153815637,2019-01-30 00:00:00-AA
2019-01-29,Aarau,92.7228466225,91.1146596139,96.0734468118,98.1050254646,2019-01-29 00:00:00-AA
2019-01-28,Aarau,91.7501347019,89.2913303941,96.9759720084,98.9559532769,2019-01-28 00:00:00-AA
2019-01-27,Aarau,95.9311556954,95.2506299313,98.0494799213,99.7318791155,2019-01-27 00:00:00-AA
2019-01-26,Aarau,98.204364193,97.8730887385,99.2315049052,98.7481567571,2019-01-26 00:00:00-AA
2019-01-25,Aarau,88.1654649048,84.9532500233,94.9543548741,94.8141931697,2019-01-25 00:00:00-AA
2019-01-24,Aarau,89.5891859772,86.701704174,95.6832227853,98.4571876254,2019-01-24 00:00:00-AA
2019-01-23,Aarau,90.9365321103,88.2734978841,96.5964309333,98.4150370399,2019-01-23 00:00:00-AA
2019-01-22,Aarau,93.8902423721,91.4449017711,98.9729951968,94.5151358782,2019-01-22 00:00:00-AA
2019-01-21,Aarau,98.2178504702,97.6220933672,99.4840470863,98.9015786091,2019-01-21 00:00:00-AA
2019-01-20,Aarau,96.0892286838,95.8487654767,96.8377367696,99.9710744905,2019-01-20 00:00:00-AA
2019-01-19,Aarau,97.7387111131,97.2929106206,99.1097396276,99.9598522158,2019-01-19 00:00:00-AA
2019-01-18,Aarau,93.5344632314,92.4692358789,95.798075066,99.3373224271,2019-01-18 00:00:00-AA
2019-01-17,Aarau,95.3571683707,94.5279774888,97.1194951369,96.8279459664,2019-01-17 00:00:00-AA
2019-01-16,Aarau,93.8808180488,92.5651391329,96.6771056345,97.9495856784,2019-01-16 00:00:00-AA
2019-01-15,Aarau,92.8278319506,91.3052619601,96.0638369605,96.8354440545,2019-01-15 00:00:00-AA
2019-01-14,Aarau,89.3136308023,86.0909593192,96.1801720481,97.8672100396,2019-01-14 00:00:00-AA
2019-01-13,Aarau,91.5200626706,90.2297230108,96.3349481789,97.5370554418,2019-01-13 00:00:00-AA
2019-01-12,Aarau,94.2308786352,93.5592911328,96.7601871441,99.0391603091,2019-01-12 00:00:00-AA
2019-01-11,Aarau,85.3174811659,81.6356039569,93.1406237087,91.6309658438,2019-01-11 00:00:00-AA
2019-01-10,Aarau,82.8881473601,80.2330127907,88.6613032254,93.2522272638,2019-01-10 00:00:00-AA
2019-01-09,Aarau,92.7129522609,90.3323583171,97.7725646114,95.6701409707,2019-01-09 00:00:00-AA
2019-01-08,Aarau,87.3800020478,86.5095085745,89.230111572,96.2445658501,2019-01-08 00:00:00-AA
2019-01-07,Aarau,89.7543675511,87.4563899713,94.6842436166,95.1978165597,2019-01-07 00:00:00-AA
2019-01-06,Aarau,95.9412590613,94.885079409,99.2605459828,99.0138634589,2019-01-06 00:00:00-AA
2019-01-05,Aarau,94.2793914519,92.852720239,98.6591577381,98.0574544992,2019-01-05 00:00:00-AA
2019-01-04,Aarau,94.5829836717,93.6877247144,96.5301810568,98.3401319511,2019-01-04 00:00:00-AA
2019-01-03,Aarau,91.6974557726,90.1451230426,95.0054939217,96.7573550277,2019-01-03 00:00:00-AA
2019-01-02,Aarau,97.8601477524,97.3391666682,99.4818451372,99.7005083781,2019-01-02 00:00:00-AA
2019-01-01,Aarau,100,100,100,99.699193973,2019-01-01 00:00:00-AA
2018-12-31,Aarau,96.0014229883,95.0401102295,98.0569192208,96.7359855462,2018-12-31 00:00:00-AA
2018-12-30,Aarau,98.7501076604,99.0561734221,97.7945627491,98.8857610534,2018-12-30 00:00:00-AA
2018-12-29,Aarau,99.5891948947,99.4553786636,100,99.9587022749,2018-12-29 00:00:00-AA
2018-12-28,Aarau,93.3242974756,91.5886188585,97.0122154746,98.0782442618,2018-12-28 00:00:00-AA
2018-12-27,Aarau,96.6816997345,95.1349307059,100,97.6424671048,2018-12-27 00:00:00-AA
2018-12-26,Aarau,99.1267744913,99.4318060782,98.1724600679,99.6283903711,2018-12-26 00:00:00-AA
